"Table 7. Life table for the black population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
45–46,0.003756928723305464,93209.7421875,350.1823425292969,93034.65625,3154158,33.839359283447266
46–47,0.004020387306809425,92859.5625,373.3314208984375,92672.8984375,3061123.5,32.965087890625
47–48,0.00432902155444026,92486.234375,400.3749084472656,92286.046875,2968450.5,32.096134185791016
48–49,0.004697108641266823,92085.859375,432.53729248046875,91869.59375,2876164.5,31.233509063720703
49–50,0.005125279538333416,91653.3203125,469.7489013671875,91418.4453125,2784294.75,30.37854766845703
50–51,0.00557539751753211,91183.5703125,508.3846435546875,90929.375,2692876.5,29.532474517822266
51–52,0.006060545798391104,90675.1875,549.5411376953125,90400.421875,2601947,28.695247650146484
52–53,0.006637158337980509,90125.6484375,598.17822265625,89826.5625,2511546.5,27.86716651916504
53–54,0.00731924781575799,89527.46875,655.2737426757813,89199.828125,2421720,27.05002212524414
54–55,0.008077817969024181,88872.1953125,717.8934326171875,88513.25,2332520.25,26.24578094482422
55–56,0.008863701485097408,88154.3046875,781.3734130859375,87763.6171875,2244007,25.4554443359375
56–57,0.009654238820075989,87372.9296875,843.5191040039063,86951.171875,2156243.25,24.678619384765625
57–58,0.010475428774952888,86529.4140625,906.4327392578125,86076.203125,2069292.25,23.914321899414063
58–59,0.011342627927660942,85622.984375,971.1896362304688,85137.390625,1983216,23.16219139099121
59–60,0.012267307378351688,84651.796875,1038.4495849609375,84132.5703125,1898078.625,22.422189712524414
60–61,0.013259396888315678,83613.34375,1108.6624755859375,83059.015625,1813946,21.694456100463867
61–62,0.014298152178525925,82504.6796875,1179.6644287109375,81914.84375,1730887,20.979257583618164
62–63,0.015358674339950085,81325.015625,1249.04443359375,80700.4921875,1648972.125,20.276321411132813
63–64,0.016416991129517555,80075.96875,1314.6064453125,79418.6640625,1568271.625,19.584796905517578
64–65,0.01748058572411537,78761.359375,1376.794677734375,78072.9609375,1488853,18.903343200683594
65–66,0.01863451860845089,77384.5625,1442.0240478515625,76663.546875,1410780,18.23076820373535
66–67,0.01988300494849682,75942.5390625,1509.9658203125,75187.5546875,1334116.5,17.567445755004883
67–68,0.021127214655280113,74432.5703125,1572.5528564453125,73646.296875,1258929,16.913684844970703
68–69,0.02230055443942547,72860.015625,1624.8187255859375,72047.609375,1185282.625,16.2679443359375
69–70,0.023514943197369576,71235.1953125,1675.091552734375,70397.6484375,1113235,15.62759780883789
70–71,0.024681350216269493,69560.1015625,1716.8372802734375,68701.6875,1042837.375,14.991889953613281
71–72,0.026448290795087814,67843.265625,1794.33837890625,66946.09375,974135.6875,14.358620643615723
72–73,0.028366003185510635,66048.9296875,1873.544189453125,65112.15625,907189.625,13.735115051269531
73–74,0.030733546242117882,64175.38671875,1972.337158203125,63189.21875,842077.4375,13.121501922607422
74–75,0.03321559354662895,62203.05078125,2066.111328125,61169.9921875,778888.25,12.52170467376709
75–76,0.035961296409368515,60136.9375,2162.602294921875,59055.63671875,717718.25,11.934732437133789
76–77,0.03891340643167496,57974.3359375,2255.97900390625,56846.34375,658662.625,11.361279487609863
77–78,0.04233812913298607,55718.35546875,2359.010986328125,54538.8515625,601816.25,10.801041603088379
78–79,0.04637480527162552,53359.34375,2474.529296875,52122.078125,547277.4375,10.256449699401855
79–80,0.05016089230775833,50884.8125,2552.427490234375,49608.6015625,495155.34375,9.73090648651123
80–81,0.05463747680187225,48332.38671875,2640.759765625,47012.0078125,445546.75,9.218389511108398
81–82,0.059225309640169144,45691.625,2706.1005859375,44338.57421875,398534.71875,8.722270965576172
82–83,0.06481990218162537,42985.5234375,2786.3173828125,41592.3671875,354196.15625,8.239893913269043
83–84,0.0710466131567955,40199.20703125,2856.017578125,38771.1953125,312603.78125,7.776366710662842
84–85,0.07724966108798981,37343.1875,2884.74853515625,35900.8125,273832.59375,7.332866191864014
85–86,0.08467693626880646,34458.4375,2917.8349609375,32999.51953125,237931.78125,6.9048919677734375
86–87,0.0927223265171051,31540.6015625,2924.51806640625,30078.34375,204932.265625,6.497411251068115
87–88,0.10139895230531693,28616.083984375,2901.640869140625,27165.263671875,174853.921875,6.110337257385254
88–89,0.1107308566570282,25714.443359375,2847.38232421875,24290.751953125,147688.65625,5.743412494659424
89–90,0.12073814868927002,22867.060546875,2760.926513671875,21486.59765625,123397.8984375,5.3963165283203125
90–91,0.1314360350370407,20106.134765625,2642.670654296875,18784.80078125,101911.3046875,5.068666934967041
91–92,0.14283378422260284,17463.46484375,2494.372802734375,16216.2783203125,83126.5,4.76002311706543
92–93,0.15493382513523102,14969.091796875,2319.21875,13809.482421875,66910.21875,4.469891548156738
93–94,0.1677306741476059,12649.873046875,2121.771728515625,11588.9873046875,53100.73828125,4.197729110717773
94–95,0.1812102198600769,10528.1015625,1907.799560546875,9574.201171875,41511.75390625,3.9429476261138916
95–96,0.19534890353679657,8620.3017578125,1683.966552734375,7778.318359375,31937.55078125,3.704922676086426
96–97,0.2101132571697235,6936.3349609375,1457.4158935546875,6207.626953125,24159.232421875,3.482996702194214
97–98,0.22545970976352692,5478.9189453125,1235.2755126953125,4861.28125,17951.60546875,3.276486873626709
98–99,0.24133454263210297,4243.6435546875,1024.1378173828125,3731.57470703125,13090.3251953125,3.0846900939941406
99–100,0.25767436623573303,3219.505859375,829.5841064453125,2804.7138671875,9358.75,2.9068901538848877
"100 and over",1,2389.921875,2389.921875,6554.0361328125,6554.0361328125,2.7423641681671143
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
